"RasterName","RasterRes","xres","yres","Size_Category","DEM","TRI","PercentDifference"
"N42W083",900,30,30,"5km",174.949690145519,2.70113940462907,0.939418653886187
"N42W083",900,30,30,"5km",186.197477799984,1.6643612441007,0.403528622392692
"N42W083",900,30,30,"5km",170.528614836473,2.50405559165065,0.855068726743392
"N42W083",900,30,30,"5km",215.134085520535,2.04282492535391,0.583056847708774
"N42W083",900,30,30,"5km",185.035982163409,2.54062451539494,0.847459100541994
"N42W083",900,30,30,"10km",197.953853591459,2.36565981949621,0.769065305278941
"N42W083",900,30,30,"10km",239.689580854683,1.79844121255897,0.457091000563363
"N42W083",900,30,30,"10km",182.259983400341,1.15782893559861,0.181310708600349
"N42W083",900,30,30,"10km",176.276945937907,2.14595778486914,0.623413686176194
"N42W083",900,30,30,"10km",185.957458690636,1.84397165755422,0.467175988195535
"N42W083",900,30,30,"100km",182.440172833619,2.4902249236588,0.932464412659675
"N42W083",900,30,30,"100km",181.776346741689,2.55677189223296,0.929430872208984
"N42W083",900,30,30,"100km",173.653473244161,0.289561274941889,0.0761667337969482
"N42W083",900,30,30,"100km",186.465247947526,2.43303536984506,0.782523343188952
"N42W083",900,30,30,"100km",191.443450208062,2.61944947862837,0.898115403289085
"N42W083",900,30,30,"250km",169.946577939585,1.85163548959124,0.536357891359628
"N42W083",900,30,30,"250km",186.633597843016,1.61865077331867,0.353944767475688
"N42W083",900,30,30,"250km",199.509655725794,2.21729262096165,0.669653634424534
"N42W083",900,30,30,"250km",173.784070334818,1.92302387219871,0.496191183440175
"N42W083",900,30,30,"250km",189.432105204582,2.08358697969983,0.595582892098734
"N74W115",900,30,30,"5km",0,0,0
"N74W115",900,30,30,"5km",0,0,0
"N74W115",900,30,30,"5km",0,0,0
"N74W115",900,30,30,"5km",0,0,0
"N74W115",900,30,30,"5km",0,0,0
"N74W115",900,30,30,"10km",0,0,0
"N74W115",900,30,30,"10km",140.129435393796,3.06608864319425,1.20757849081447
"N74W115",900,30,30,"10km",0,0,0
"N74W115",900,30,30,"10km",0,0,0
"N74W115",900,30,30,"10km",0,0,0
"N74W115",900,30,30,"100km",0,0,0
"N74W115",900,30,30,"100km",0,0,0
"N74W115",900,30,30,"100km",0,0,0
"N74W115",900,30,30,"100km",0,0,0
"N74W115",900,30,30,"100km",0,0,0
"N74W115",900,30,30,"250km",0,0,0
"N74W115",900,30,30,"250km",0,0,0
"N74W115",900,30,30,"250km",179.494270248966,2.97346365642722,1.16578672652791
"N74W115",900,30,30,"250km",0,0,0
"N74W115",900,30,30,"250km",0,0,0
"N54W092",900,30,30,"5km",235.242574108659,1.30391913698385,0.302399911198646
"N54W092",900,30,30,"5km",191.700670944443,2.22802587625305,0.654857630659997
"N54W092",900,30,30,"5km",169.051737329767,1.88109752760081,0.480418974892115
"N54W092",900,30,30,"5km",197.919770979051,1.96983933048972,0.596016182727141
"N54W092",900,30,30,"5km",141.702516230493,2.57155178460409,0.891002272401821
"N54W092",900,30,30,"10km",221.141445027132,1.94931376125946,0.576227579094664
"N54W092",900,30,30,"10km",164.136591259345,1.88447421375386,0.472103127481374
"N54W092",900,30,30,"10km",233.16882346936,2.03974344020206,0.537852995117757
"N54W092",900,30,30,"10km",154.511965163943,2.18637030524097,0.717980758256636
"N54W092",900,30,30,"10km",243.424826620224,2.02232148135573,0.658677868428888
"N54W092",900,30,30,"100km",244.131663976596,1.42061854100483,0.36017368429853
"N54W092",900,30,30,"100km",195.186532489718,1.90386955019687,0.537685507571888
"N54W092",900,30,30,"100km",236.961308261704,0.84569632892207,0.183763668439096
"N54W092",900,30,30,"100km",126.433421119041,1.71114144315722,0.389806405864977
"N54W092",900,30,30,"100km",162.294037411453,2.39836273470408,0.775717149617367
"N54W092",900,30,30,"250km",177.81898865268,1.93345181472713,0.532786193706906
"N54W092",900,30,30,"250km",248.549330028674,1.55335651490781,0.351235617601217
"N54W092",900,30,30,"250km",228.33789745366,1.83598463747833,0.505987572246811
"N54W092",900,30,30,"250km",207.479365333714,1.36062183063744,0.314313521971858
"N54W092",900,30,30,"250km",236.97750089742,1.72111169177864,0.465747478535305
"N73W102",900,30,30,"5km",0,0,0
"N73W102",900,30,30,"5km",0,0,0
"N73W102",900,30,30,"5km",0,0,0
"N73W102",900,30,30,"5km",0,0,0
"N73W102",900,30,30,"5km",0,0,0
"N73W102",900,30,30,"10km",0,0,0
"N73W102",900,30,30,"10km",0,0,0
"N73W102",900,30,30,"10km",0.664912374766672,0.171055916061127,0.0550496700552107
"N73W102",900,30,30,"10km",0,0,0
"N73W102",900,30,30,"10km",0,0,0
"N73W102",900,30,30,"100km",0,0,0
"N73W102",900,30,30,"100km",0,0,0
"N73W102",900,30,30,"100km",0,0,0
"N73W102",900,30,30,"100km",0,0,0
"N73W102",900,30,30,"100km",0,0,0
"N73W102",900,30,30,"250km",0,0,0
"N73W102",900,30,30,"250km",0,0,0
"N73W102",900,30,30,"250km",0,0,0
"N73W102",900,30,30,"250km",0,0,0
"N73W102",900,30,30,"250km",0,0,0
"S11W140",900,30,30,"5km",0,0,0
"S11W140",900,30,30,"5km",0,0,0
"S11W140",900,30,30,"5km",0,0,0
"S11W140",900,30,30,"5km",0,0,0
"S11W140",900,30,30,"5km",0,0,0
"S11W140",900,30,30,"10km",0,0,0
"S11W140",900,30,30,"10km",0,0,0
"S11W140",900,30,30,"10km",0,0,0
"S11W140",900,30,30,"10km",0,0,0
"S11W140",900,30,30,"10km",0,0,0
"S11W140",900,30,30,"100km",0,0,0
"S11W140",900,30,30,"100km",0,0,0
"S11W140",900,30,30,"100km",0,0,0
"S11W140",900,30,30,"100km",0,0,0
"S11W140",900,30,30,"100km",0,0,0
"S11W140",900,30,30,"250km",0,0,0
"S11W140",900,30,30,"250km",0,0,0
"S11W140",900,30,30,"250km",0,0,0
"S11W140",900,30,30,"250km",0,0,0
"S11W140",900,30,30,"250km",0,0,0
"S81E044",900,30,30,"5km",4917.66317092322,16.838482625398,29.3443843479668
"S81E044",900,30,30,"5km",1429.0881875493,5.52731436689489,3.12660639220987
"S81E044",900,30,30,"5km",1508.59470881234,2.24461950336853,0.579052383066676
"S81E044",900,30,30,"5km",4063.57945597302,8.86469202455334,9.8508980962646
"S81E044",900,30,30,"5km",1215.64993992941,1.94696851116289,0.46075893408159
"S81E044",900,30,30,"10km",1675.52269411234,4.5655331226574,4.0030315272736
"S81E044",900,30,30,"10km",5130.38029152327,19.4783227946821,37.241109166896
"S81E044",900,30,30,"10km",6166.0513811773,85.7690289266609,328.563300934685
"S81E044",900,30,30,"10km",4846.95205302181,44.5749144481891,137.540845268737
"S81E044",900,30,30,"10km",5288.90595203214,18.5123190151434,33.5949109127709
"S81E044",900,30,30,"100km",2783.80914189396,3.62965541337581,1.5175492965256
"S81E044",900,30,30,"100km",5007.74227569923,30.6098504611736,87.0563576090745
"S81E044",900,30,30,"100km",136.06040176273,29.5348838397488,83.4863657605265
"S81E044",900,30,30,"100km",5291.77427995429,19.550465658873,36.6915538576784
"S81E044",900,30,30,"100km",3665.1054342914,30.5942941631104,101.892019055568
"S81E044",900,30,30,"250km",1047.13892400146,56.6498955095583,171.541204422876
"S81E044",900,30,30,"250km",5094.23896983038,18.7737285258723,34.3832517353358
"S81E044",900,30,30,"250km",2048.38569537347,4.71977514844995,3.15530319227832
"S81E044",900,30,30,"250km",5890.74927678238,18.2899454965982,31.9054013342449
"S81E044",900,30,30,"250km",5294.70840827707,19.7234598072322,38.2453351473528
"N80W032",900,30,30,"5km",1700.60659314834,5.21501613117556,3.97943509259613
"N80W032",900,30,30,"5km",1362.77817483124,6.92808297656675,6.68088894293152
"N80W032",900,30,30,"5km",1608.21985283272,1.43195296291715,0.2825671818832
"N80W032",900,30,30,"5km",1633.99833301477,1.70560694251648,0.40111421089327
"N80W032",900,30,30,"5km",1720.15265279926,0.912842288946609,0.168934234421452
"N80W032",900,30,30,"10km",1609.46678499719,1.17143707442568,0.182417825596139
"N80W032",900,30,30,"10km",1639.51554865674,1.20756041018605,0.199618710441003
"N80W032",900,30,30,"10km",1312.87428107798,4.15456875296888,3.43704805917828
"N80W032",900,30,30,"10km",1636.67351861384,1.44706831579799,0.310402279519263
"N80W032",900,30,30,"10km",1661.20705181405,3.04207018625312,2.10808824797524
"N80W032",900,30,30,"100km",1511.17143691644,4.81428280463915,4.32643227539948
"N80W032",900,30,30,"100km",1720.02662538096,4.16750344436462,3.21966241896272
"N80W032",900,30,30,"100km",1702.27828512244,3.32760547918398,2.26006580594703
"N80W032",900,30,30,"100km",1601.38589416407,1.30690878376763,0.247124898017385
"N80W032",900,30,30,"100km",1571.9372178987,1.00547791883827,0.145851135135106
"N80W032",900,30,30,"250km",1668.22740756003,0.999829227815324,0.149682238438138
"N80W032",900,30,30,"250km",1698.11124280092,1.97210547651115,1.05952387437045
"N80W032",900,30,30,"250km",1627.08494806162,1.32149679339433,0.252961879461266
"N80W032",900,30,30,"250km",1280.02161750906,5.45143483786829,4.59103026761323
