"","Sampler","RasRes"
"1",1,702.240000000002
"2",1,702.240000000002
"3",1,702.240000000002
"4",1,702.240000000002
"5",1,702.240000000002
"6",1,702.240000000002
"7",1,702.240000000002
"8",1,702.240000000002
"9",1,702.240000000002
"10",1,702.240000000002
"11",1,702.240000000002
"12",1,702.240000000002
"13",1,702.240000000002
"14",1,702.240000000002
"15",1,702.240000000002
"16",1,702.240000000002
"17",1,702.240000000002
"18",1,702.240000000002
"19",1,702.240000000002
"20",1,702.240000000002
"21",1,256.68
"22",1,256.68
"23",1,256.68
"24",1,256.68
"25",1,256.68
"26",1,256.68
"27",1,256.68
"28",1,256.68
"29",1,256.68
"30",1,256.68
"31",1,256.68
"32",1,256.68
"33",1,256.68
"34",1,256.68
"35",1,256.68
"36",1,256.68
"37",1,256.68
"38",1,256.68
"39",1,256.68
"40",1,256.68
"41",1,556.200000000002
"42",1,556.200000000002
"43",1,556.200000000002
"44",1,556.200000000002
"45",1,556.200000000002
"46",1,556.200000000002
"47",1,556.200000000002
"48",1,556.200000000002
"49",1,556.200000000002
"50",1,556.200000000002
"51",1,556.200000000002
"52",1,556.200000000002
"53",1,556.200000000002
"54",1,556.200000000002
"55",1,556.200000000002
"56",1,556.200000000002
"57",1,556.200000000002
"58",1,556.200000000002
"59",1,556.200000000002
"60",1,556.200000000002
"61",1,272.8
"62",1,272.8
"63",1,272.8
"64",1,272.8
"65",1,272.8
"66",1,272.8
"67",1,272.8
"68",1,272.8
"69",1,272.8
"70",1,272.8
"71",1,272.8
"72",1,272.8
"73",1,272.8
"74",1,272.8
"75",1,272.8
"76",1,272.8
"77",1,272.8
"78",1,272.8
"79",1,272.8
"80",1,272.8
"81",1,933.28
"82",1,933.28
"83",1,933.28
"84",1,933.28
"85",1,933.28
"86",1,933.28
"87",1,933.28
"88",1,933.28
"89",1,933.28
"90",1,933.28
"91",1,933.28
"92",1,933.28
"93",1,933.28
"94",1,933.28
"95",1,933.28
"96",1,933.28
"97",1,933.28
"98",1,933.28
"99",1,933.28
"100",1,933.28
"101",1,158.72
"102",1,158.72
"103",1,158.72
"104",1,158.72
"105",1,158.72
"106",1,158.72
"107",1,158.72
"108",1,158.72
"109",1,158.72
"110",1,158.72
"111",1,158.72
"112",1,158.72
"113",1,158.72
"114",1,158.72
"115",1,158.72
"116",1,158.72
"117",1,158.72
"118",1,158.72
"119",1,158.72
"120",1,158.72
"121",1,158.719999999999
"122",1,158.719999999999
"123",1,158.719999999999
"124",1,158.719999999999
"125",1,158.719999999999
"126",1,158.719999999999
"127",1,158.719999999999
"128",1,158.719999999999
"129",1,158.719999999999
"130",1,158.719999999999
"131",1,158.719999999999
"132",1,158.719999999999
"133",1,158.719999999999
"134",1,158.719999999999
"135",1,158.719999999999
"136",1,158.719999999999
"137",1,158.719999999999
"138",1,158.719999999999
"139",1,158.719999999999
"140",1,158.719999999999
"141",1,865.480000000001
"142",1,865.480000000001
"143",1,865.480000000001
"144",1,865.480000000001
"145",1,865.480000000001
"146",1,865.480000000001
"147",1,865.480000000001
"148",1,865.480000000001
"149",1,865.480000000001
"150",1,865.480000000001
"151",1,865.480000000001
"152",1,865.480000000001
"153",1,865.480000000001
"154",1,865.480000000001
"155",1,865.480000000001
"156",1,865.480000000001
"157",1,865.480000000001
"158",1,865.480000000001
"159",1,865.480000000001
"160",1,865.480000000001
"161",1,948.63
"162",1,948.63
"163",1,948.63
"164",1,948.63
"165",1,948.63
"166",1,948.63
"167",1,948.63
"168",1,948.63
"169",1,948.63
"170",1,948.63
"171",1,948.63
"172",1,948.63
"173",1,948.63
"174",1,948.63
"175",1,948.63
"176",1,948.63
"177",1,948.63
"178",1,948.63
"179",1,948.63
"180",1,948.63
"181",1,288.92
"182",1,288.92
"183",1,288.92
"184",1,288.92
"185",1,288.92
"186",1,288.92
"187",1,288.92
"188",1,288.92
"189",1,288.92
"190",1,288.92
"191",1,288.92
"192",1,288.92
"193",1,288.92
"194",1,288.92
"195",1,288.92
"196",1,288.92
"197",1,288.92
"198",1,288.92
"199",1,288.92
"200",1,288.92
"201",1,945.56
"202",1,945.56
"203",1,945.56
"204",1,945.56
"205",1,945.56
"206",1,945.56
"207",1,945.56
"208",1,945.56
"209",1,945.56
"210",1,945.56
"211",1,945.56
"212",1,945.56
"213",1,945.56
"214",1,945.56
"215",1,945.56
"216",1,945.56
"217",1,945.56
"218",1,945.56
"219",1,945.56
"220",1,945.56
"221",1,158.72
"222",1,158.72
"223",1,158.72
"224",1,158.72
"225",1,158.72
"226",1,158.72
"227",1,158.72
"228",1,158.72
"229",1,158.72
"230",1,158.72
"231",1,158.72
"232",1,158.72
"233",1,158.72
"234",1,158.72
"235",1,158.72
"236",1,158.72
"237",1,158.72
